0,1.000000000E+01,1.379955648E-01,2.302585093E+00,-1.980533734E+00,0.000000000E+00
1,2.000000000E+01,8.518065315E-02,2.995732274E+00,-2.462980947E+00,6.960242018E-01
2,4.000000000E+01,5.238852910E-02,3.688879454E+00,-2.949067622E+00,7.012748359E-01
3,8.000000000E+01,3.182717688E-02,4.382026635E+00,-3.447434735E+00,7.189917630E-01
4,1.600000000E+02,1.908413703E-02,5.075173815E+00,-3.958897811E+00,7.378852429E-01
5,3.200000000E+02,1.131662374E-02,5.768320996E+00,-4.481482507E+00,7.539303495E-01
6,6.400000000E+02,6.654015736E-03,6.461468176E+00,-5.012534736E+00,7.661464179E-01
7,1.280000000E+03,3.888968099E-03,7.154615357E+00,-5.549611427E+00,7.748378777E-01
8,2.560000000E+03,2.263686199E-03,7.847762537E+00,-6.090760733E+00,7.807134204E-01
9,5.120000000E+03,1.314190151E-03,8.540909718E+00,-6.634534658E+00,7.844999443E-01
10,1.024000000E+04,7.617384330E-04,9.234056899E+00,-7.179907325E+00,7.868064428E-01
